date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:10	188316/188316	---M--	200	added ('OK')	font/woff2	etag:W/%222df9c-16da9530a83%22	https://tickettool.xyz/assets/fonts/materialdesignicons-webfont.woff2?v=3.5.95	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/materialdesignicons-webfont62bd.woff2	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:12	256404/256404	---M--	200	added ('OK')	font/woff	etag:W/%223e994-16da9530767%22	https://tickettool.xyz/assets/fonts/materialdesignicons-webfont.woff?v=3.5.95	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/materialdesignicons-webfont62bd.woff	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:15	62084/62084	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f284-16da952f48f%22	https://tickettool.xyz/assets/fonts/feather.eot?t=1525787366991	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/feathere8ab.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:16	29500/29500	---M--	200	added ('OK')	font/woff	etag:W/%22733c-16da952f8e7%22	https://tickettool.xyz/assets/fonts/feather.woff?t=1525787366991	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/feathere8ab.woff	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:18	61920/61920	---M--	200	added ('OK')	font/ttf	etag:W/%22f1e0-16da952f75f%22	https://tickettool.xyz/assets/fonts/feather.ttf?t=1525787366991	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/feathere8ab.ttf	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:19	213926/213926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22343a6-16da952f773%22	https://tickettool.xyz/assets/fonts/feather.svg?t=1525787366991	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/feathere8ab.svg	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:20	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221339c-16da95310d3%22	https://tickettool.xyz/assets/fonts/themify.eot?-fvbane	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/themify9f24.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:22	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221339c-16da95310d3%22	https://tickettool.xyz/assets/fonts/themify.eot?	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/themifyd41d.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:24	56108/56108	---M--	200	added ('OK')	font/woff	etag:W/%22db2c-16da9531a97%22	https://tickettool.xyz/assets/fonts/themify.woff?-fvbane	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/themify9f24.woff	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:26	531476/531476	---M--	200	added ('OK')	font/ttf	etag:W/%2281c14-16da95303bf%22	https://tickettool.xyz/assets/fonts/materialdesignicons-webfont.ttf?v=3.5.95	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/materialdesignicons-webfont62bd.ttf	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:27	78584/78584	---M--	200	added ('OK')	font/ttf	etag:W/%22132f8-16da953188b%22	https://tickettool.xyz/assets/fonts/themify.ttf?-fvbane	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/themify9f24.ttf	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:27	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223931d-16da9531607%22	https://tickettool.xyz/assets/fonts/themify.svg?-fvbane	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/themify9f24.svg	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:31	4075141/4075141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223e2e85-16da9532cd7%22	https://tickettool.xyz/assets/fonts/materialdesignicons-webfont.svg?v=3.5.95	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/materialdesignicons-webfont62bd.svg	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:31	125320/125320	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221e988-16da952dea3%22	https://tickettool.xyz/assets/fonts/fa-brands-400.eot	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-brands-400.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
18:18:32	125320/125320	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221e988-16da952dea3%22	https://tickettool.xyz/assets/fonts/fa-brands-400.eot?	D:/bot%20codes/https___tickettool.xyz_/tickettool.xyz/assets/fonts/fa-brands-400d41d.eot	(from https://tickettool.xyz/assets/css/icons.min.css)
